2022-03-29 17:29:41 trigproc ca-certificates:all 20210119 <none>
2022-03-29 17:29:41 status half-configured ca-certificates:all 20210119
2022-03-29 17:29:41 status installed ca-certificates:all 20210119
2022-03-29 17:29:45 startup archives unpack
2022-03-29 17:29:45 install readline-common:all <none> 8.1-1
2022-03-29 17:29:45 status half-installed readline-common:all 8.1-1
2022-03-29 17:29:45 status unpacked readline-common:all 8.1-1
2022-03-29 17:29:45 install libreadline8:amd64 <none> 8.1-1
2022-03-29 17:29:45 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-03-29 17:29:45 status half-installed libreadline8:amd64 8.1-1
2022-03-29 17:29:45 status unpacked libreadline8:amd64 8.1-1
2022-03-29 17:29:45 install libassuan0:amd64 <none> 2.5.3-7.1
2022-03-29 17:29:45 status half-installed libassuan0:amd64 2.5.3-7.1
2022-03-29 17:29:45 status unpacked libassuan0:amd64 2.5.3-7.1
2022-03-29 17:29:45 install gpgconf:amd64 <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed gpgconf:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 status unpacked gpgconf:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 install libksba8:amd64 <none> 1.5.0-3
2022-03-29 17:29:45 status half-installed libksba8:amd64 1.5.0-3
2022-03-29 17:29:45 status unpacked libksba8:amd64 1.5.0-3
2022-03-29 17:29:45 install libnpth0:amd64 <none> 1.6-3
2022-03-29 17:29:45 status half-installed libnpth0:amd64 1.6-3
2022-03-29 17:29:45 status unpacked libnpth0:amd64 1.6-3
2022-03-29 17:29:45 install dirmngr:amd64 <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed dirmngr:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 status unpacked dirmngr:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 install gnupg-l10n:all <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed gnupg-l10n:all 2.2.27-2+deb11u1
2022-03-29 17:29:45 status unpacked gnupg-l10n:all 2.2.27-2+deb11u1
2022-03-29 17:29:45 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 install libsqlite3-0:amd64 <none> 3.34.1-3
2022-03-29 17:29:45 status half-installed libsqlite3-0:amd64 3.34.1-3
2022-03-29 17:29:45 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-03-29 17:29:45 install gpg:amd64 <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed gpg:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 status unpacked gpg:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 install libncursesw6:amd64 <none> 6.2+20201114-2
2022-03-29 17:29:45 status half-installed libncursesw6:amd64 6.2+20201114-2
2022-03-29 17:29:45 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-03-29 17:29:45 install pinentry-curses:amd64 <none> 1.1.0-4
2022-03-29 17:29:45 status half-installed pinentry-curses:amd64 1.1.0-4
2022-03-29 17:29:45 status unpacked pinentry-curses:amd64 1.1.0-4
2022-03-29 17:29:45 install gpg-agent:amd64 <none> 2.2.27-2+deb11u1
2022-03-29 17:29:45 status half-installed gpg-agent:amd64 2.2.27-2+deb11u1
2022-03-29 17:29:45 status unpacked gpg-agent:amd64 2.2.27-2+deb11u1
